
========================================================================================================================
Rank  | Score  | Source          | Category   | Title                               | URL
------------------------------------------------------------------------------------------------------------------------
   1   | 31.5   | CMoney投資網誌      | Business   | 全球AI晶片戰火升溫！Alibaba籌備T-Head IPO...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPTFUtVlgyZUpSeXlTT3drVE1WYjFWMGhad0V5ZkZ3bFJjZTdFWWVodVpLUEFxT18teUc4ME9YamJacjYxdGs1RU1QODhZdVctZ05RZFNJQUNjRVlkM3JzWEJRcGJjWm5lWUkyVFFsS0RiVXZTUjkzX21sSnNPUkJhdHhnVWV2Wk5EVVhuLTV3?oc=5
   2   | 31.5   | CMoney投資網誌      | Risk       | 【美股動態】微軟AI擴張自負電費與水耗，政策風險緩解 - C...   | https://news.google.com/rss/articles/CBMizwFBVV95cUxPYll6SHNtNzZyaGJEZ0VSbDh4dENpTlBmdUZTWDFXeXRIeGNMd1VJQ3pCV3FJVEVLWWQ3Uk1ZOV9uZk42MHRCR2FGdWU3Q3M3VU9hUFVDTXBrSE5xVUszelE2eV9DdmpMSUNzZ21OTFM1eTExSWpWTTB0bWNVckxEdmpkRncxWURWSUM2R3FSLWtHZElwaC1hNE84VkNpTjJ6UTRGU2paZ1dEOWtkbmE3UFNPYkVjY0ZPUVlKREpwaWhRWVUySS14T2xaeTJ4blE?oc=5
   3   | 31.0   | TechOrange 科技報橘 | Risk       | 【瀏覽器裡的內鬼】AI 助手獲跨網域權限，企業資安面臨哪些資...   | https://news.google.com/rss/articles/CBMiX0FVX3lxTE1HRWVUX29JdXJyLUZVVWRqamRsMUdkNUpnTTFvVS1qQ1hrXzVfc3k2WE5hdFJaMHYwUkRxRTJFR2FEdHdLVjUzdXVXLTBmMmVOWm5La01oSFk1Tjc0VTZj?oc=5
   4   | 31.0   | iThome          | Risk       | NIST公布CSF延伸AI專屬網路安全框架，協助組織因應AI...   | https://news.google.com/rss/articles/CBMiTkFVX3lxTE9CczZFSFdaNFhtNTBqN2NhRE4tRGM2a21ocllzSmFYbmhCWTltbHFhRk04dXlWMjRNbGRxeHpfM2NvQmkwZlhJOUZkZUZIZw?oc=5
   5   | 30.5   | CMoney投資網誌      | Business   | AI引爆美股科技超級週！雲端、大型半導體、記憶體儲存齊攜盤創...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxOWW5XdEN1WkpwQmhmeHhJblFHWHF5ekpCZkJyRzRHUTBFXzZldnE4bDRYRU93cHNuQ25UaHp6dXoyQmhvcFZQNXhPVzZ1R09fR0FlN2Fsc0xucGZ3VWRscEwzMGxIUkdUUkZKYVNBTmZRNzR1Ylh4RXc2WGh0ME9PWGJnZzNYY0dSM0ZIWEFB?oc=5
   6   | 30.5   | CMoney投資網誌      | Business   | AI引爆美股科技超級週！雲端、大型半導體、記憶體儲存齊攜盤創...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxQWElrSFZFVjVhZjAzbU5laDZkRTdRSi1KNHN6MlVneVByT0dpbjJ5RFZFY09uV2pOdTUwNW15VVpaTUVQbG5vMldrWUQyaTd1bFlqSDk3ZnVhdGswOUZLcXQ5ZTI2THc0NHdDOUZxdEpSYmdIMDNPVHYxN1FlMjRIUlZROTdjMWdIbkZQUTVn?oc=5
   7   | 30.5   | CMoney投資網誌      | Business   | AI引爆美股科技超級週！雲端、大型半導體、記憶體儲存齊攜盤創...   | https://news.google.com/rss/articles/CBMizwFBVV95cUxPQkdvcVRTSTFXZFlnNERSZjZIUU5CSk96RUkzZFNfV0dXVXJ2YWxVT1o3bGM2Wm5TaVlmZ19vRU9qNEZqX1NLR1hDYXRMSUxSbHloaHoxNW9ZVUpJNHd2NXpkZEs4cmhBNmVZTzRfejRqeTdrVVpPdnJaUnE4NmFHZXluTlEzOWRSLWJDUUF3LURTLTdEaXFkZ1JKRkVhMXQxc2Q3YnY3MHlHQmM4LXpkTVYzTkJfczFtWlV5TGR1SHdPVjBrX2M3bTg5WTdnVm8?oc=5
   8   | 30.5   | CMoney投資網誌      | Business   | AI引爆美股科技超級週！雲端、大型半導體、記憶體儲存齊攜盤創...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPUnlpekxWa2M2dHZZYmxXZmN3N24tdDZqaHVLb0tQaVZZWlQwUFVaSWRleElsZ2R4a1AxbG0wWThrQ3ZEQVZRU05pMjFwdDZlaHNPTml6cVN6Y1VnUm1BYUpqcHI5eTNaeHJMeUt4bTYyWVExbzY0TVdwbjB5MzU5emx3LXl3aGwwRjR6UW1B?oc=5
   9   | 30.5   | CMoney投資網誌      | Business   | AI引爆美股科技超級週！雲端、大型半導體、記憶體儲存齊攜盤創...   | https://news.google.com/rss/articles/CBMijgFBVV95cUxPWDg4c2kzY1FaQ1N6TmdyMVNKWXNwVHBIbkxrdnV3ekN1RmljS0ZBRUlYcW5wTUstemNUay1EVEFyb0k2bzJmb3ZyN1M5YTNrQmVsVlcwZm4xd1M0TWE1M25pVWw3bHhIOVNzMEFaSXRJRi04X1duQjFRS2NzZmdIVWw4TU5JT1h5SndQaFZR?oc=5
